text_id,text_type,target,target_question,labels
1515371338617217032,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1530583471596482561,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1503255430352584707,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1514471567467687937,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1528408265465405441,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1516660677880029185,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1498416459428548618,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1542214449590898688,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1542578500330201089,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1545063964303835136,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1517438754960543744,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1513570355406909445,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1546192570367328258,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1515369766004965381,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1503351409890279431,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1515211509739266049,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1526151907848372224,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1512135737759735812,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1515650440410632193,reply,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1519242651442327552,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1510194148149764099,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1528338723628367874,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1569800983236190209,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
1517036359713701889,tweet,arms delivery,soll die ukraine mit der lieferung von waffen sowie von schweren waffen unterstützt werden,AGAINST
